year_month,total_redemptions,total_sales,redemption_lower,redemption_upper,sales_lower,sales_upper,avg_temp,total_precip,forecast_confidence
2026-02,2874,2751,355,8740,375,8628,-1.4476414380889189,2.3000000342726707,high
2026-03,29787,26845,1894,107363,1656,104354,1.8306272174360112,54.596944432523514,medium
2026-04,66778,69900,23783,161092,24036,164181,7.425243055555556,86.145,medium
2026-05,143912,149886,82447,255079,75606,260968,14.599578445747799,65.3272727272727,low
2026-06,244761,259417,170924,363185,172111,377815,19.718478535353537,79.06363636363635,low
2026-07,326981,332668,243202,459115,233799,464737,23.0092803030303,76.54545454545453,low
2026-08,327557,324173,243831,468546,222034,465113,22.142473118279568,62.03181818181817,low
2026-09,138558,145314,65757,282712,69039,289419,18.82214015151515,58.65454545454544,low
2026-10,74234,78627,18672,230566,21216,234938,12.122910557184749,64.89090909090906,low
2026-11,27699,24675,917,185696,540,182663,5.587487373737374,51.49545454545452,low
2026-12,18925,15235,0,188692,0,185026,0.857618523949169,74.86363636363633,low
2027-01,18062,13673,0,194145,0,189743,-2.7160984848484846,71.25454545454542,low
2027-02,17275,14249,0,162674,0,159642,-1.8789505796217203,119.86363636363635,low
